,name,value_dest
516,incidentTypeDisableVehicle,Disabled Vehicle
517,incidentTypeEvent,Event
518,incidentTypeFlowCamera,Flow Camera
519,incidentTypeHightWayExitCamera,Safety Camera
520,incidentTypeMiscellaneous,Traffic
521,incidentTypePlannedEvent,Planned Event
522,incidentTypePolice,Police
523,incidentTypeProhibitedLeftTurnCamera,Safety Camera
524,incidentTypeProhibitedRightTurnCamera,Safety Camera
525,incidentTypeRoadClosure,Road Closure
526,incidentTypeRoadHazard,Road Hazard
527,incidentTypeScheduledConstruction,Scheduled Construction
528,incidentTypeSpeedCamera,Safety Camera
529,incidentTypeSpeedTrap,Speed Trap
530,incidentTypeTrafficCamera,Safety Camera
531,incidentTypeWeather,Weather
532,incrAbortPopUp,Your map update is taking longer than expected. Please visit the OnStar website to download the latest version. Continue update?
533,incrBandwidth,The download size is approximately %1$sMB. Data rates and/or overage fees may apply. Continue?
534,incrDataApplied,Your local map content is up to date.
535,incrDataUpToData,Your local map content is up to date.
536,incrDataUpdateInProcess,Map Update in Progress: %1$s%%
537,incrDataUpdateIsAvailable,New local map content is available.
538,incrDataUpdateIssue,Update Issue?
539,incrDataUpdateNeedOtherSubscription,Unavailable with current %1$s Connected Navigation service
540,incrDataUpdateNeedSubscription,Available with Connected Navigation service
541,incrFail,Map Update Failed
542,incrNewUpdateAvailable,New Map Available
543,incrOutOfSpace,Your memory disk is full or damaged. Please contact your local dealer for help.
544,incrPrepareFail,Could not update map. Please refer to the owner\'s portal website for more information. You can also contact customer support or your local dealer for help.
545,incrRenewSubscriptionFromSettings,You can renew your subscription from Settings.
546,incrRenewSubscriptionMessage,Renew your subscription at Collection.
547,incrRenewSubscriptionMessageNotCadillac,Renew your subscription at Shop.
548,incrRestartToComplete,Turn engine off and then back on to complete the update.
549,incrRollbackDescription,Having issues with Map Content? Roll back to the previous version.
550,incrRollbackPreviousContent,Rollback
551,incrSendDiagnostics,Send Diagnostics
552,incrSendDiagnosticsDescription,This will send diagnostic information to help resolve map content issues.
553,incrSettings,Settings
554,incrSubscriptionExpired,Your NavConnect Plan has expired. Would you like to renew now?
555,incrToastFind,Find your map update options in Settings.
556,incrUpdateMapData,Update your local map?
557,initializingProfileOnSplash,Initializing Profile
558,intersectionItemLabel,Intersection
559,intersectionSearchFirstHint,Street Name
560,intersectionSearchSecondHint,Crossroad
561,isbnLabel,ISBN:
562,jumpButtonText,Tap to Adjust Current Road
